{'BM': 19605698.077646073, 'ijk': (6, '-', 22, '-', 3)}
{'BM': 19494899.33860694, 'ijk': (5, '-', 19, '-', 4)}
{'BM': 19489057.410156593, 'ijk': (6, '-', 23, '-', 4)}
{'BM': 19460391.976752356, 'ijk': (5, '-', 19, '-', 3)}
{'BM': 19440325.916210096, 'ijk': (6, '-', 23, '-', 3)}
{'BM': 19439511.98328455, 'ijk': (6, '-', 22, '-', 4)}
{'BM': 19378658.855688877, 'ijk': (6, '-', 24, '-', 4)}
{'BM': 19314928.098404143, 'ijk': (5, '-', 20, '-', 4)}
{'BM': 19250037.680969857, 'ijk': (6, '-', 25, '-', 4)}
{'BM': 19158397.073069997, 'ijk': (6, '-', 24, '-', 3)}
{'BM': 19076422.507006243, 'ijk': (5, '-', 20, '-', 3)}
{'BM': 19028041.329158455, 'ijk': (6, '-', 26, '-', 4)}
{'BM': 19009823.50348025, 'ijk': (5, '-', 21, '-', 4)}
{'BM': 19005652.288287867, 'ijk': (6, '-', 25, '-', 5)}
{'BM': 18999194.692792725, 'ijk': (5, '-', 21, '-', 3)}
{'BM': 18981453.738525014, 'ijk': (6, '-', 22, '-', 5)}
{'BM': 18975081.836521253, 'ijk': (6, '-', 23, '-', 5)}
{'BM': 18943587.747475743, 'ijk': (5, '-', 26, '-', 4)}
{'BM': 18934430.64117918, 'ijk': (6, '-', 24, '-', 5)}
{'BM': 18926977.053222824, 'ijk': (5, '-', 19, '-', 5)}
{'BM': 18923976.601074386, 'ijk': (6, '-', 27, '-', 4)}
{'BM': 18922547.39928669, 'ijk': (6, '-', 26, '-', 5)}
{'BM': 18906497.809776064, 'ijk': (5, '-', 22, '-', 4)}
{'BM': 18871121.11630759, 'ijk': (5, '-', 18, '-', 3)}
{'BM': 18854199.165363505, 'ijk': (6, '-', 27, '-', 5)}
{'BM': 18847235.28541532, 'ijk': (5, '-', 20, '-', 5)}
{'BM': 18844111.35917405, 'ijk': (6, '-', 25, '-', 3)}
{'BM': 18817542.59522199, 'ijk': (5, '-', 23, '-', 4)}
{'BM': 18777434.944305778, 'ijk': (6, '-', 28, '-', 5)}
{'BM': 18769888.729100544, 'ijk': (5, '-', 21, '-', 5)}
{'BM': 18769880.25662507, 'ijk': (5, '-', 28, '-', 4)}
{'BM': 18769478.144628808, 'ijk': (5, '-', 22, '-', 5)}
{'BM': 18749495.34132929, 'ijk': (5, '-', 29, '-', 5)}
{'BM': 18702698.35563328, 'ijk': (5, '-', 29, '-', 4)}
{'BM': 18700631.26166525, 'ijk': (5, '-', 25, '-', 5)}
{'BM': 18691140.294110116, 'ijk': (6, '-', 28, '-', 4)}
{'BM': 18673259.13478498, 'ijk': (6, '-', 29, '-', 5)}
{'BM': 18670150.225254707, 'ijk': (5, '-', 24, '-', 5)}
{'BM': 18620355.382505313, 'ijk': (5, '-', 25, '-', 4)}
{'BM': 18605580.900042403, 'ijk': (5, '-', 27, '-', 4)}
{'BM': 18557842.13879676, 'ijk': (6, '-', 21, '-', 4)}
{'BM': 18534321.11308818, 'ijk': (5, '-', 23, '-', 5)}
{'BM': 18505959.32507599, 'ijk': (5, '-', 27, '-', 5)}
{'BM': 18478555.719211873, 'ijk': (5, '-', 22, '-', 3)}
{'BM': 18442079.243753284, 'ijk': (5, '-', 20, '-', 6)}
{'BM': 18439209.0493566, 'ijk': (5, '-', 28, '-', 5)}
